id_origen;fila_original;fecha;nombre;importe_eur;tipo;categoria_principal;subcategoria;contexto;plataforma;viaje_proyecto;recurrente;fiscal_piso_malaga;categoria_original;nota_migracion
mov-000969;970;2024-10-05;iCloud;-9.99;Gasto;Suscripciones;Almacenamiento y servicios digitales;Personal;;;Sí;No aplica;Suscripciones;
mov-000970;971;2024-10-04;Cafeteria;-4.75;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-000971;972;2024-10-03;Comia mercadona;-4.67;Gasto;Comida;Supermercado;Personal;;;No;No aplica;Comida;
mov-000972;973;2024-10-02;Cerve;-1.19;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-000973;974;2024-10-01;Itv;-44.18;Gasto;Transporte;Coche;Personal;;;No;No aplica;Utilities;
mov-000974;975;2024-10-01;Alquiler;1200.00;Ingreso;Piso Málaga;Ingreso alquiler;Piso Málaga;Residencial;;Sí;Ingreso del inmueble;Alquiler;
mov-000975;976;2024-10-01;Comunidad;-70.80;Gasto;Piso Málaga;Comunidad;Piso Málaga;;;Sí;Gasto del inmueble - revisar deducibilidad;Utilities;
mov-000976;977;2024-09-30;Comida casa nacho;-3.70;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-000977;978;2024-09-29;Copa;-6.00;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-000978;979;2024-09-29;Vino;-1.40;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-000979;980;2024-09-29;Cine;-11.00;Gasto;Ocio;Cultura y eventos;Personal;;;No;No aplica;Actividades;
mov-000980;981;2024-09-29;Gasofa;-60.59;Gasto;Transporte;Coche;Personal;;;No;No aplica;Transporte;
mov-000982;983;2024-09-23;Comia anca el mejillon;-8.70;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-000983;984;2024-09-21;Semillas;-2.89;Gasto;Compras;Hogar y jardín;Personal;;;No;No aplica;Shopping;
mov-000984;985;2024-09-20;Hamburguer;-15.00;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-000985;986;2024-09-19;Gaso;-50.00;Gasto;Transporte;Coche;Personal;;;No;No aplica;Transporte;
mov-000986;987;2024-09-19;Gambrinus cena todos;-10.70;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-000987;988;2024-09-19;Parking;-2.00;Gasto;Transporte;Parking y peajes;Personal;;;No;No aplica;Transporte;Aparcamiento ocasional
